Temperature,Turbidity,Turbidity,PH,Dissolved oxygen
17.8,64,4430,7.51,3.75
17.8,78,4268,7.55,4.27
17.8,68,4205,7.63,5.38
17.6,59,3923,7.6,5.05
17.4,65,3854,7.57,4.68
17.6,67,4108,7.55,4.45
17.1,63,3235,7.63,6.29
17.4,57,3914,7.55,4.64
16.8,74,2893,7.6,5.78
16.9,73,2874,7.59,5.79
16.8,71,2639,7.59,5.78
,,,,
,,,,
17,64,2438,7.55,5.63
17.1,55,2388,7.6,6.32
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
17.4,59,2862,7.45,4.83
17.4,55,3080,7.45,4.6
17.6,57,2884,7.58,5.98
17.4,55,3170,7.49,4.69
17.5,55,3363,7.48,4.63
17.6,55,3403,7.61,6.27
17.6,39,3366,7.62,6.47
17.5,47,3279,7.57,5.79
17.3,43,3216,7.57,5.75
17,36,3042,7.56,5.72
16.8,33,2994,7.56,5.75
16.7,36,2995,7.54,5.55
17,33,2824,7.56,6.24
17,42,2868,7.54,5.88
16.9,34,2805,7.53,5.65
16.9,43,2547,7.56,6.19
17.1,48,2476,7.6,6.62
17.3,44,2434,7.7,7.75
17.1,35,2778,7.49,5.13
17.2,56,2930,7.45,4.54
,,,,
,,,,
,,,,
,,,,
17.7,49,3251,7.53,4.22
17.6,38,3516,7.44,3.7
17.6,46,3780,7.45,3.67
17.8,58,3792,7.49,4.28
17.9,55,3930,7.5,4.11
17.9,58,3997,7.5,4.01
17.7,46,3758,7.5,4.56
17.8,63,3540,7.52,4.95
18.2,69,3649,7.57,4.68
18.3,85,3439,7.54,3.9
18.4,104,2985,7.53,4.18
18.5,84,2372,7.52,4.6
18.6,54,1737,7.56,5.7
18.4,30,1430,7.6,6.58
18.2,42,1300,7.61,6.8
18.2,54,1269,7.59,6.65
18.2,44,1300,7.62,6.71
18.4,68,1291,7.67,7.33
18.7,59,1322,7.78,8.26
18.6,51,1353,7.58,6.23
,,,,
,,,,
,,,,
,,,,
19.6,46,1596,7.88,8.68
19.6,62,1606,8.03,10.06
19.2,127,1606,7.76,7.67
19,38,1575,7.78,7.92
19,36,1568,7.77,7.62
18.9,37,1572,7.67,6.94
18.7,33,1547,7.68,7
18.7,27,1509,7.65,6.83
18.7,22,1491,7.65,6.64
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
19.6,52,1484,7.6,6.45
19.5,66,1430,7.55,6.04
19.5,43,1421,7.62,6.87
19.5,38,1412,7.59,6.7
19.5,36,1409,7.61,6.67
19.4,33,1418,7.55,6.42
19.3,24,1406,7.55,6.3
19.4,25,1387,7.61,6.55
19.5,24,1387,7.65,6.56
19.4,48,1378,7.6,7.16
19.5,38,1783,7.47,5.44
19.5,39,1659,7.51,5.8
19.5,57,1827,7.5,5.11
19.6,42,1852,7.49,5.23
19.7,33,1842,7.52,5.48
19.7,27,1934,7.5,5.01
19.7,31,1946,7.51,4.84
19.6,42,1855,7.56,5.48
19.5,53,1877,7.46,4.54
19.2,37,1852,7.45,4.24
19.2,42,1983,7.41,3.63
18.9,48,1877,7.4,3.72
18.7,32,1808,7.39,3.68
18.6,23,1802,7.38,3.58
18.6,37,1796,7.38,3.34
18.4,26,1787,7.35,3.58
18.4,27,1805,7.34,3.15
18.4,25,1787,7.34,3.07
18.4,30,1747,7.35,3.04
18.3,25,1778,7.33,2.77
18.3,17,1716,7.33,2.99
18.2,25,1715,7.33,2.78
18.3,33,1722,7.33,2.58
18.2,22,1716,7.33,2.64
18.2,25,1737,7.32,2.55
18.3,29,1749,7.32,2.59
18.4,24,1795,7.32,2.43
18.5,22,1777,7.33,2.64
18.9,31,1771,7.4,3.5
18.7,31,1780,7.33,2.68
18.6,32,1780,7.36,2.94
18.6,34,1784,7.32,2.25
18.7,31,1784,7.34,2.45
18.7,33,1765,7.37,3.01
18.8,23,1762,7.38,3.19
18.8,16,1753,7.41,3.85
18.8,26,1778,7.4,3.92
18.8,25,1765,7.44,4.16
18.8,23,1760,7.44,4.85
19,19,1688,7.45,4.56
19,24,1756,7.42,4.05
18.9,23,1738,7.41,4.1
18.9,21,1738,7.41,3.94
18.8,16,1672,7.36,3.16
18.7,21,1666,7.34,3.27
18.8,46,1634,7.33,2.93
18.8,14,1646,7.35,3.1
19.2,29,1666,7.38,3.79
20,24,1672,7.58,5.85
20.2,43,1669,7.49,5.07
19.4,21,1669,7.38,3.55
19.4,11,1662,7.36,3.31
19.5,13,1666,7.37,4.39
19.6,13,1624,7.42,4.24
19.5,12,1675,7.39,3.35
20.5,32,1656,7.86,8.43
20.3,26,1653,7.71,6.82
19.9,23,1669,7.53,5.19
19.5,23,1653,7.39,3.72
19.2,10,1697,7.3,2.15
19.2,12,1707,7.28,1.85
19.2,10,1691,7.3,2.63
19.2,7,1694,7.29,2.27
19.1,14,1697,7.25,1.66
19,7,1694,7.25,1.58
19,7,1682,7.24,1.58
19,13,1669,7.24,1.45
19,6,1647,7.24,1.63
19,8,1682,7.24,1.33
18.9,11,1669,7.23,1.33
19,3,1682,7.23,1.43
19.2,3,1691,7.25,2.1
19.5,8,1516,7.27,2
19.1,6,1722,7.24,1.25
19,5,1691,7.23,1.78
19,4,1741,7.22,1.66
19.1,2,1839,7.24,1.52
19.2,13,2014,7.26,1.64
19.1,4,2039,7.28,2.18
19.2,2,2071,7.27,1.61
19.2,19,2071,7.3,2.31
19.2,17,2020,7.3,2.64
19.4,18,2099,7.33,2.46
19.4,15,2130,7.33,2.29
19.4,20,2142,7.31,2.12
19.4,11,2282,7.31,1.76
19.2,17,2189,7.31,1.94
19.2,16,2320,7.3,1.5
19.1,24,2282,7.3,2.19
19.2,16,2301,7.29,1.45
19.2,17,2173,7.3,2.28
19,21,2213,7.28,1.62
19,13,2117,7.27,1.46
19,16,2176,7.27,1.65
19,18,2170,7.27,1.67
19,10,2142,7.27,1.97
19.2,16,2133,7.28,3.81
,,,,
19.4,4,2189,7.2,3.05
19.6,23,2152,7.33,3.65
19.9,11,2139,7.47,5.64
19.9,11,2152,7.44,5.09
19.6,22,2173,7.32,3.89
20.2,15,2176,7.61,6.33
20.1,14,2152,7.64,6.86
20,23,2155,7.58,6.27
19.8,14,1830,7.5,5.38
