PH,elec,tur,oxy,tem
7.6,4045.692,92.093,4.255,19.901
7.613,4097.237,95.526,4.481,19.883
7.628,4165.842,98.912,4.695,19.845
7.645,4218.034,101.434,4.905,19.82
7.652,4263.515,103.199,4.979,19.798
7.654,4283.013,102.197,4.915,19.776
7.654,4246.106,100.417,4.829,19.752
7.651,4147.329,96.353,4.748,19.737
7.642,3995.821,86.831,4.681,19.717
7.627,3859.214,75.391,4.592,19.703
7.611,3686.849,62.802,4.501,19.707
7.598,3544.468,51.577,4.441,19.71
7.59,3411.528,42.787,4.446,19.693
7.588,3289.383,36.388,4.512,19.655
7.592,3178.113,31.995,4.632,19.623
7.588,3099.648,30.586,4.627,19.598
7.578,3044.987,31.138,4.542,19.583
7.571,3044.743,32.965,4.52,19.567
7.564,3069.475,36.696,4.454,19.584
7.556,3111.164,42.153,4.363,19.645
7.554,3149.538,49.561,4.332,19.755
7.571,3143.479,57.624,4.601,19.88
7.617,3081.67,64.757,5.287,20.003
7.675,2980.772,65.519,6.128,20.148
7.754,2965.97,64.855,7.051,20.302
7.844,2914.983,64.617,7.976,20.455
7.927,2869.311,63.513,8.751,20.57
7.971,2815.591,60.404,9.137,20.62
7.976,2803.321,56.399,9.184,20.593
7.935,2815.488,53.276,8.79,20.509
7.869,2825.788,52.061,8.131,20.401
7.808,2802.382,51.246,7.519,20.311
7.742,2807.583,51.053,6.884,20.212
7.695,2801.524,50.045,6.357,20.133
7.659,2841.756,49.397,5.888,20.066
7.624,3085.005,50.214,5.346,20.001
7.599,3310.626,51.41,4.927,19.941
7.583,3472.807,52.414,4.631,19.888
7.573,3629.731,53.297,4.397,19.833
7.566,3705.276,53.373,4.218,19.766
7.564,3653.206,51.249,4.19,19.694
7.563,3549.999,50.073,4.183,19.627
7.564,3498.597,50.463,4.194,19.574
7.571,3440.222,51.686,4.279,19.534
7.583,3387.342,53.347,4.44,19.522
7.6,3409.048,53.626,4.666,19.548
7.614,3450.16,55.83,4.8,19.597
7.62,3497.329,59.895,4.87,19.65
7.63,3540.9,63.862,4.988,19.689
7.654,3569.123,66.671,5.234,19.711
7.683,3584.323,69.56,5.506,19.701
7.715,3571.611,70.309,5.819,19.669
7.735,3580.575,69.628,6.045,19.614
7.743,3574.809,67.85,6.16,19.546
7.741,3546.776,66.44,6.197,19.462
7.733,3569.432,66.212,6.159,19.381
7.72,3565.424,65.655,6.017,19.298
7.701,3605.789,64.504,5.764,19.22
7.678,3654.26,63.169,5.391,19.154
7.655,3664.4,60.39,4.994,19.105
7.625,3579.615,55.348,4.624,19.066
7.591,3436.476,47.656,4.291,19.03
7.556,3192.76,38.73,4.067,19.004
7.527,2910.237,32.096,3.942,18.981
7.505,2682.72,29.334,3.867,18.946
7.491,2547.999,30.504,3.823,18.914
7.486,2491.673,34.626,3.818,18.906
7.488,2484.479,42.563,3.851,18.943
7.493,2515.201,54.699,3.903,19.032
7.504,2555.266,68.98,4.002,19.15
7.513,2579.117,88.096,4.078,19.272
7.528,2548.945,112.125,4.227,19.39
7.542,2469.932,128.724,4.381,19.509
7.553,2565.679,134.997,4.484,19.594
7.565,2687.568,131.741,4.578,19.655
7.572,2810.83,123.901,4.586,19.652
7.563,2955.475,116.79,4.416,19.571
7.549,3089.57,110.504,4.18,19.457
7.536,3174.478,104.641,3.98,19.354
7.525,3206.287,100.792,3.851,19.261
7.518,3204.226,97.085,3.791,19.173
7.511,3261.61,93.384,3.621,19.119
7.51,3300.775,89.243,3.507,19.075
7.515,3299.773,84.036,3.495,19.014
7.518,3252.264,78.004,3.53,18.923
7.515,3209.28,70.804,3.497,18.882
7.51,3231.677,63.273,3.399,18.894
7.505,3325.322,60.638,3.213,18.951
7.5,3421.14,60.884,3.071,18.987
7.5,3530.739,62.524,3.03,18.982
7.504,3608.895,67.52,3.065,18.942
7.513,3747.062,79.419,3.11,18.959
7.528,3868.206,95.704,3.304,18.961
7.551,3948.688,113.056,3.62,18.944
7.574,3971.677,120.392,3.932,18.939
7.595,3991.728,119.623,4.203,18.953
7.602,4062.634,118.208,4.381,18.991
7.608,4112.098,113.382,4.488,19.055
7.614,4137.919,106.414,4.604,19.131
7.618,4126.018,99.924,4.688,19.199
7.612,4100.556,96.138,4.665,19.218
7.603,4091.933,93.558,4.598,19.201
7.595,4069.278,90.596,4.52,19.163
7.587,4060.825,88.367,4.409,19.121
7.578,4093.399,85.801,4.285,19.073
7.572,4088.446,82.758,4.165,19.013
7.566,4022.118,78.571,4.078,18.951
7.56,3878.187,73.68,3.988,18.88
7.549,3764.55,68.399,3.849,18.812
7.536,3653.218,63.936,3.672,18.777
7.525,3559.475,58.541,3.536,18.74
7.517,3485.143,54.675,3.5,18.687
7.511,3364.636,51.399,3.593,18.608
7.508,3200.84,48.566,3.84,18.513
7.511,3007.146,45.033,4.273,18.418
7.521,2806.869,40.93,4.798,18.369
7.531,2627.656,38.929,5.203,18.383
7.541,2531.87,39.115,5.486,18.459
7.547,2596.152,41.203,5.617,18.552
7.557,2657.963,42.784,5.773,18.642
7.561,2785.101,44.279,5.834,18.717
7.566,2925.901,46.323,5.809,18.775
7.558,3101.255,50.075,5.554,18.774
7.56,3280.117,55.836,5.461,18.787
7.564,3482.571,63.199,5.462,18.812
7.566,3673.345,70.632,5.391,18.838
7.569,3803.542,75.393,5.362,18.863
7.564,3826.976,77.107,5.222,18.874
7.555,3868.327,76.857,5.035,18.866
7.54,3822.071,74.616,4.785,18.839
7.523,3656.289,69.576,4.542,18.79
7.51,3438.404,63.886,4.449,18.733
7.494,3238.999,58.87,4.396,18.682
7.481,3018.165,54.534,4.427,18.647
7.471,2811.85,50.464,4.552,18.613
7.461,2635.337,46.919,4.683,18.589
7.452,2494.904,44.463,4.685,18.574
7.446,2328.105,42.68,4.687,18.57
7.445,2135.265,41.372,4.755,18.581
7.45,1884.595,40.722,4.914,18.628
7.454,1773.198,41.841,5.098,18.715
7.455,1915.843,45.046,5.204,18.818
7.452,2109.183,49.177,5.177,18.924
7.451,2240.758,53.362,5.148,19.018
7.445,2309.012,58.418,5.034,19.061
7.438,2407.282,65.412,4.817,19.068
7.435,2760.704,72.762,4.546,19.033
7.437,3131.103,79.283,4.26,18.99
7.445,3445.329,84.327,3.994,18.959
7.456,3619.806,85.875,3.797,18.94
7.465,3670.649,84.621,3.655,18.931
