tem,tur,elec,PH,oxy
19.6,116.8,2955.5,7.6,4.4
19.5,110.5,3089.6,7.5,4.2
19.4,104.6,3174.5,7.5,4
19.3,100.8,3206.3,7.5,3.9
19.2,97.1,3204.2,7.5,3.8
19.1,93.4,3261.6,7.5,3.6
19.1,89.2,3300.8,7.5,3.5
19,84,3299.8,7.5,3.5
18.9,78,3252.3,7.5,3.5
18.9,70.8,3209.3,7.5,3.5
18.9,63.3,3231.7,7.5,3.4
19,60.6,3325.3,7.5,3.2
19,60.9,3421.1,7.5,3.1
19,62.5,3530.7,7.5,3
18.9,67.5,3608.9,7.5,3.1
19,79.4,3747.1,7.5,3.1
19,95.7,3868.2,7.5,3.3
18.9,113.1,3948.7,7.6,3.6
18.9,120.4,3971.7,7.6,3.9
19,119.6,3991.7,7.6,4.2
19,118.2,4062.6,7.6,4.4
19.1,113.4,4112.1,7.6,4.5
19.1,106.4,4137.9,7.6,4.6
19.2,99.9,4126,7.6,4.7
19.2,96.1,4100.6,7.6,4.7
19.2,93.6,4091.9,7.6,4.6
19.2,90.6,4069.3,7.6,4.5
19.1,88.4,4060.8,7.6,4.4
19.1,85.8,4093.4,7.6,4.3
19,82.8,4088.4,7.6,4.2
19,78.6,4022.1,7.6,4.1
18.9,73.7,3878.2,7.6,4
18.8,68.4,3764.6,7.5,3.8
18.8,63.9,3653.2,7.5,3.7
18.7,58.5,3559.5,7.5,3.5
18.7,54.7,3485.1,7.5,3.5
18.6,51.4,3364.6,7.5,3.6
18.5,48.6,3200.8,7.5,3.8
18.4,45,3007.1,7.5,4.3
18.4,40.9,2806.9,7.5,4.8
18.4,38.9,2627.7,7.5,5.2
18.5,39.1,2531.9,7.5,5.5
18.6,41.2,2596.2,7.5,5.6
18.6,42.8,2658,7.6,5.8
18.7,44.3,2785.1,7.6,5.8
18.8,46.3,2925.9,7.6,5.8
18.8,50.1,3101.3,7.6,5.6
18.8,55.8,3280.1,7.6,5.5
18.8,63.2,3482.6,7.6,5.5
18.8,70.6,3673.3,7.6,5.4
18.9,75.4,3803.5,7.6,5.4
18.9,77.1,3827,7.6,5.2
18.9,76.9,3868.3,7.6,5
18.8,74.6,3822.1,7.5,4.8
18.8,69.6,3656.3,7.5,4.5
18.7,63.9,3438.4,7.5,4.4
18.7,58.9,3239,7.5,4.4
18.6,54.5,3018.2,7.5,4.4
18.6,50.5,2811.8,7.5,4.6
18.6,46.9,2635.3,7.5,4.7
18.6,44.5,2494.9,7.5,4.7
18.6,42.7,2328.1,7.4,4.7
18.6,41.4,2135.3,7.4,4.8
18.6,40.7,1884.6,7.4,4.9
18.7,41.8,1773.2,7.5,5.1
18.8,45,1915.8,7.5,5.2
18.9,49.2,2109.2,7.5,5.2
19,53.4,2240.8,7.5,5.1
19.1,58.4,2309,7.4,5
19.1,65.4,2407.3,7.4,4.8
19,72.8,2760.7,7.4,4.5
19,79.3,3131.1,7.4,4.3
19,84.3,3445.3,7.4,4
18.9,85.9,3619.8,7.5,3.8
18.9,84.6,3670.6,7.5,3.7
