tem,PH,elec,tur,oxy
18.9,7.5,3638.5,83.5,3.6
18.9,7.5,3734.6,82,3.6
18.9,7.5,3742.9,79.8,3.7
18.9,7.5,3744.1,76.4,3.9
18.9,7.5,3651.9,71.3,4
18.9,7.4,3553.2,68.4,4
18.9,7.4,3542.9,66.6,3.9
18.9,7.4,3526,65,3.9
18.9,7.4,3590.1,63.9,3.8
18.9,7.4,3618.4,63.7,3.7
18.8,7.4,3791.2,64.1,3.6
18.8,7.4,3887.4,64.5,3.6
18.7,7.4,3910.3,64.3,3.7
18.7,7.4,3945.5,64,3.8
18.7,7.4,3974.7,63.1,4.1
18.7,7.4,3983.5,62.6,4.4
18.8,7.4,3962.6,62.2,4.7
18.8,7.4,3923.9,62.9,5
18.9,7.5,3931.8,65.5,5.1
18.9,7.5,3918.1,68.1,5.2
18.9,7.5,3926.8,70.4,5.3
18.9,7.5,3918.8,69.8,5.3
18.8,7.4,3940.4,67.6,5.3
18.8,7.4,3918.1,62.5,5.4
18.7,7.4,3834.6,56.3,5.4
18.6,7.4,3734.6,50.7,5.5
18.5,7.4,3616.9,46.2,5.5
18.4,7.4,3502.9,43.8,5.5
18.3,7.4,3380.4,42.8,5.5
18.2,7.4,3331.5,42.9,5.3
18.1,7.4,3293.8,45.3,5.1
18,7.4,3273.9,50.2,4.8
18,7.4,3246.7,55.9,4.6
17.9,7.4,3250.5,59.3,4.3
17.8,7.4,3282,62.9,4.2
17.8,7.4,3326.9,67.8,4
17.8,7.4,3368.7,71.5,4
17.9,7.4,3457.4,69.5,4.1
18.1,7.4,3609.1,65.1,4.2
18.3,7.4,3743.1,59.6,4.4
18.5,7.4,3832.2,53.8,4.4
18.6,7.4,3869,48.7,4.4
18.6,7.3,3858.2,44.9,4.2
18.6,7.3,3814.2,42.2,4
18.6,7.3,3758.5,41.1,3.8
18.5,7.3,3704,41.4,3.6
18.4,7.3,3734.2,41.8,3.5
18.3,7.3,3766.6,42.3,3.5
18.2,7.3,3780.5,42.4,3.6
18.1,7.3,3773,42.5,3.7
18.1,7.3,3753.1,42.5,3.8
18,7.3,3759.1,42.3,4
18,7.3,3757.7,41.7,4.3
18,7.3,3743.7,41.1,4.5
17.9,7.3,3743,39.6,4.6
17.9,7.3,3739.8,38.2,4.5
17.8,7.3,3722.4,37.1,4.3
17.7,7.3,3695.1,36,4.3
17.6,7.3,3653.2,34.9,4.2
17.6,7.3,3580.5,33.4,4.3
17.7,7.3,3479.3,32.1,4.5
17.8,7.3,3355.9,31,4.8
17.9,7.3,3321.1,30.6,5
18,7.3,3339.4,30.2,5.2
18.2,7.3,3369,30.2,5.5
18.3,7.3,3382.2,30.7,5.8
18.3,7.3,3448.6,32.2,6
18.4,7.3,3518.6,33.7,5.8
18.3,7.3,3587.6,34.5,5.2
18.2,7.3,3674.1,36,4.6
18.2,7.3,3785.2,38.4,4
18.1,7.3,3871.1,41.4,3.6
18.1,7.3,3924.9,44.9,3.4
18.1,7.3,3940.1,48.3,3.4
