tem,PH,tur,elec,oxy
17.3,7.7,44,2434,7.75
17.1,7.49,35,2778,5.13
17.2,7.45,56,2930,4.54
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
17.7,7.53,49,3251,4.22
17.6,7.44,38,3516,3.7
17.6,7.45,46,3780,3.67
17.8,7.49,58,3792,4.28
17.9,7.5,55,3930,4.11
17.9,7.5,58,3997,4.01
17.7,7.5,46,3758,4.56
17.8,7.52,63,3540,4.95
18.2,7.57,69,3649,4.68
18.3,7.54,85,3439,3.9
18.4,7.53,104,2985,4.18
18.5,7.52,84,2372,4.6
18.6,7.56,54,1737,5.7
18.4,7.6,30,1430,6.58
18.2,7.61,42,1300,6.8
18.2,7.59,54,1269,6.65
18.2,7.62,44,1300,6.71
18.4,7.67,68,1291,7.33
18.7,7.78,59,1322,8.26
18.6,7.58,51,1353,6.23
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
19.6,7.88,46,1596,8.68
19.6,8.03,62,1606,10.06
19.2,7.76,127,1606,7.67
19,7.78,38,1575,7.92
19,7.77,36,1568,7.62
18.9,7.67,37,1572,6.94
18.7,7.68,33,1547,7
18.7,7.65,27,1509,6.83
18.7,7.65,22,1491,6.64
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
19.6,7.6,52,1484,6.45
19.5,7.55,66,1430,6.04
19.5,7.62,43,1421,6.87
19.5,7.59,38,1412,6.7
19.5,7.61,36,1409,6.67
19.4,7.55,33,1418,6.42
19.3,7.55,24,1406,6.3
19.4,7.61,25,1387,6.55
19.5,7.65,24,1387,6.56
19.4,7.6,48,1378,7.16
19.5,7.47,38,1783,5.44
19.5,7.51,39,1659,5.8
19.5,7.5,57,1827,5.11
19.6,7.49,42,1852,5.23
19.7,7.52,33,1842,5.48
19.7,7.5,27,1934,5.01
19.7,7.51,31,1946,4.84
19.6,7.56,42,1855,5.48
19.5,7.46,53,1877,4.54
19.2,7.45,37,1852,4.24
19.2,7.41,42,1983,3.63
18.9,7.4,48,1877,3.72
18.7,7.39,32,1808,3.68
18.6,7.38,23,1802,3.58
18.6,7.38,37,1796,3.34
18.4,7.35,26,1787,3.58
18.4,7.34,27,1805,3.15
18.4,7.34,25,1787,3.07
18.4,7.35,30,1747,3.04
18.3,7.33,25,1778,2.77
18.3,7.33,17,1716,2.99
18.2,7.33,25,1715,2.78
18.3,7.33,33,1722,2.58
18.2,7.33,22,1716,2.64
18.2,7.32,25,1737,2.55
18.3,7.32,29,1749,2.59
18.4,7.32,24,1795,2.43
18.5,7.33,22,1777,2.64
18.9,7.4,31,1771,3.5
18.7,7.33,31,1780,2.68
18.6,7.36,32,1780,2.94
18.6,7.32,34,1784,2.25
18.7,7.34,31,1784,2.45
18.7,7.37,33,1765,3.01
18.8,7.38,23,1762,3.19
18.8,7.41,16,1753,3.85
18.8,7.4,26,1778,3.92
18.8,7.44,25,1765,4.16
18.8,7.44,23,1760,4.85
19,7.45,19,1688,4.56
19,7.42,24,1756,4.05
18.9,7.41,23,1738,4.1
18.9,7.41,21,1738,3.94
18.8,7.36,16,1672,3.16
18.7,7.34,21,1666,3.27
18.8,7.33,46,1634,2.93
18.8,7.35,14,1646,3.1
19.2,7.38,29,1666,3.79
20,7.58,24,1672,5.85
20.2,7.49,43,1669,5.07
19.4,7.38,21,1669,3.55
19.4,7.36,11,1662,3.31
19.5,7.37,13,1666,4.39
19.6,7.42,13,1624,4.24
19.5,7.39,12,1675,3.35
20.5,7.86,32,1656,8.43
20.3,7.71,26,1653,6.82
19.9,7.53,23,1669,5.19
19.5,7.39,23,1653,3.72
19.2,7.3,10,1697,2.15
19.2,7.28,12,1707,1.85
19.2,7.3,10,1691,2.63
19.2,7.29,7,1694,2.27
19.1,7.25,14,1697,1.66
19,7.25,7,1694,1.58
19,7.24,7,1682,1.58
19,7.24,13,1669,1.45
19,7.24,6,1647,1.63
19,7.24,8,1682,1.33
18.9,7.23,11,1669,1.33
19,7.23,3,1682,1.43
19.2,7.25,3,1691,2.1
19.5,7.27,8,1516,2
19.1,7.24,6,1722,1.25
19,7.23,5,1691,1.78
19,7.22,4,1741,1.66
19.1,7.24,2,1839,1.52
19.2,7.26,13,2014,1.64
19.1,7.28,4,2039,2.18
19.2,7.27,2,2071,1.61
19.2,7.3,19,2071,2.31
19.2,7.3,17,2020,2.64
19.4,7.33,18,2099,2.46
19.4,7.33,15,2130,2.29
19.4,7.31,20,2142,2.12
19.4,7.31,11,2282,1.76
19.2,7.31,17,2189,1.94
19.2,7.3,16,2320,1.5
19.1,7.3,24,2282,2.19
19.2,7.29,16,2301,1.45
19.2,7.3,17,2173,2.28
19,7.28,21,2213,1.62
19,7.27,13,2117,1.46
19,7.27,16,2176,1.65
19,7.27,18,2170,1.67
19,7.27,10,2142,1.97
