tem,PH,elec,tur,oxy
18.95,7.45,2322.03,50.14,5.17
19.09,7.46,2444.39,52.45,5.22
19.12,7.45,2257.83,55.36,5.16
19.12,7.43,2024.59,63.89,4.89
19.03,7.43,2653.20,73.20,4.56
18.95,7.43,3230.30,81.42,4.23
18.92,7.44,3687.18,88.99,3.91
18.92,7.46,3821.36,88.86,3.73
18.94,7.47,3716.41,83.11,3.56
18.92,7.48,3420.20,82.08,3.50
18.91,7.48,3755.72,81.93,3.53
18.90,7.47,3772.24,81.70,3.63
18.89,7.46,3874.67,78.44,3.94
18.82,7.45,3665.26,68.34,4.17
18.86,7.44,3439.00,66.44,4.05
18.94,7.43,3517.32,66.21,3.98
18.98,7.43,3438.45,64.76,3.88
18.97,7.44,3590.83,62.96,3.87
18.92,7.44,3459.34,63.13,3.69
18.87,7.44,3890.48,64.61,3.59
18.79,7.43,4011.93,65.81,3.56
18.70,7.43,3908.25,65.19,3.55
18.64,7.42,3935.99,65.42,3.65
18.65,7.43,3993.27,63.00,4.00
18.72,7.44,4021.00,62.35,4.41
18.81,7.45,3970.15,59.82,4.91
18.84,7.45,3855.93,59.13,5.15
18.88,7.45,3928.78,64.03,5.16
18.90,7.45,3880.19,68.47,5.21
18.91,7.46,3915.55,74.16,5.22
18.90,7.46,3872.66,72.72,5.35
18.87,7.45,3992.87,71.61,5.28
18.80,7.44,4006.28,64.11,5.27
18.70,7.45,3868.66,55.49,5.39
18.58,7.43,3755.09,48.89,5.44
18.44,7.42,3614.88,43.74,5.50
18.34,7.40,3495.95,42.75,5.46
18.28,7.40,3287.43,42.30,5.58
18.21,7.38,3313.21,40.23,5.46
18.15,7.37,3301.56,42.36,5.20
18.05,7.37,3310.49,50.02,4.86
18.00,7.37,3236.48,59.12,4.52
17.94,7.36,3237.80,58.31,4.24
17.84,7.36,3291.15,59.70,4.09
17.73,7.35,3337.83,68.82,3.94
17.69,7.35,3292.76,78.77,3.83
17.79,7.35,3354.05,73.61,3.93
18.04,7.35,3616.60,65.98,4.27
18.35,7.36,3813.92,58.96,4.61
18.59,7.36,3918.61,51.98,4.60
18.70,7.35,3943.01,46.49,4.47
18.73,7.34,3903.50,43.17,4.31
18.65,7.34,3818.47,40.08,4.01
18.57,7.34,3714.35,39.80,3.78
18.44,7.34,3567.24,41.74,3.51
18.34,7.33,3708.12,42.58,3.48
18.27,7.33,3805.79,43.52,3.49
18.18,7.33,3830.43,42.56,3.52
18.10,7.33,3792.80,42.47,3.56
18.03,7.33,3718.77,42.68,3.67
18.00,7.33,3758.67,42.54,3.98
18.04,7.33,3764.37,41.88,4.41
18.05,7.31,3717.82,42.00,4.87
17.99,7.31,3731.64,39.18,4.82
17.90,7.32,3745.75,37.70,4.53
